"id","answer","description","date_posted","img_url","started","solved","users_with_hints","total_hints","solve_rate","hint_usage","avg_hints","difficulty"
51,"казань","К (читается как КА) + ЗА (на заднем плане) + НЬ","2025-07-21","/daily-rebuses/51.jpg","674","667","223","418","0.9896","0.3309","0.6202","0.1820"
52,"виноград","Вино + Град","2025-07-22","/daily-rebuses/52.jpg","740","736","241","382","0.9946","0.3257","0.5162","0.1621"
53,"диплом","Дип (deep - глубокий) + Лом (металлолом)","2025-07-23","/daily-rebuses/53.jpg","739","718","468","1015","0.9716","0.6333","1.3735","0.3814"
54,"балтика","Бал (светское мероприятие) + Тика (Тик - боец Brawl Stars)","2025-07-24","/daily-rebuses/54.jpg","736","723","433","569","0.9823","0.5883","0.7731","0.2736"
55,"аура","А + Ура (возглас)","2025-07-25","/daily-rebuses/55.jpg","716","707","208","313","0.9874","0.2905","0.4372","0.1457"
56,"чек бокс|чек-бокс|чекбокс","Чек (на изображении кассовые чеки) + Бокс (чеки боксируют)","2025-07-26","/daily-rebuses/56.jpg","688","682","308","554","0.9913","0.4477","0.8052","0.2379"
57,"ветклиника","Вет (wet - мокрый) + Клиника","2025-07-27","/daily-rebuses/57.jpg","723","708","472","989","0.9793","0.6528","1.3679","0.3808"
58,"градостроитель","Град + О (соединительная буква) + Строитель","2025-07-28","/daily-rebuses/58.jpg","716","708","315","521","0.9888","0.4399","0.7277","0.2258"
59,"мелкий","Мел + Кий","2025-07-29","/daily-rebuses/59.jpg","712","704","339","552","0.9888","0.4761","0.7753","0.2421"
60,"бинт","Бин (Мистер Бин) + Т","2025-07-30","/daily-rebuses/60.jpg","748","743","315","596","0.9933","0.4211","0.7968","0.2288"
61,"команда","Кома + НДА (NDA - соглашение о неразглашении конфиденциальной информации)","2025-07-31","/daily-rebuses/61.jpg","755","743","382","603","0.9841","0.5060","0.7987","0.2558"
62,"питер пен|питер пэн|питер паркер","Питер (Санкт-Петербург) + Пэн (ручка)","2025-08-01","/daily-rebuses/62.jpg","736","721","465","851","0.9796","0.6318","1.1563","0.3436"
63,"альтушки","Альт (инструмент) + Ушки","2025-08-02","/daily-rebuses/63.jpg","723","709","440","651","0.9806","0.6086","0.9004","0.2988"
64,"окно","Ок (жест окей) + Но (герой сериала говорит: No God, Please No!)","2025-08-03","/daily-rebuses/64.jpg","747","740","315","451","0.9906","0.4217","0.6037","0.2016"
65,"дикий огурец","Дикси минус С = Дики + Й = Дикий. + Огурец (Диджей такой)","2025-08-04","/daily-rebuses/65.jpg","773","766","445","560","0.9909","0.5757","0.7245","0.2580"
66,"муха","Му (говорит корова) + Ха (буква Х читается как Ха)","2025-08-05","/daily-rebuses/66.jpg","779","775","389","486","0.9949","0.4994","0.6239","0.2215"
67,"череп","Че (канал) + Реп (номер Петросяна)","2025-08-06","/daily-rebuses/67.jpg","781","767","493","909","0.9821","0.6312","1.1639","0.3431"
68,"бабушка надвое сказала|бабка надвое сказала","Бабушка или бабка + Надвое (делить на два) + Сказала","2025-08-07","/daily-rebuses/68.jpg","758","750","497","864","0.9894","0.6557","1.1398","0.3412"
69,"чаща","Ча и Ща пиши с буквой А","2025-08-08","/daily-rebuses/69.jpg","762","755","307","425","0.9908","0.4029","0.5577","0.1899"
70,"сероводород","Серов (певец ртом) + Одо (dodo-d=odo) + Род","2025-08-09","/daily-rebuses/70.jpg","745","739","312","514","0.9919","0.4188","0.6899","0.2130"
71,"канадка","Ка + Над + Ка","2025-08-10","/daily-rebuses/71.jpg","776","769","304","455","0.9910","0.3918","0.5863","0.1913"
72,"ворота","Вор + От + А","2025-08-11","/daily-rebuses/72.jpg","791","779","508","971","0.9848","0.6422","1.2276","0.3538"
73,"сырник","Сыр + Ник (обозначается символом @)","2025-08-12","/daily-rebuses/73.jpg","778","768","542","927","0.9871","0.6967","1.1915","0.3606"
74,"тенге","Тен (10 - ten) + Ге (художник)","2025-08-13","/daily-rebuses/74.jpg","810","801","476","847","0.9889","0.5877","1.0457","0.3104"
75,"квадратный метр|метр квадратный","Метр (м) + Квадратный (в квадратном изображении)","2025-08-14","/daily-rebuses/75.jpg","808","796","482","872","0.9851","0.5965","1.0792","0.3199"
76,"сосиска","Сос (sos по Азбуке Морзе) + И (соединительная гласная) + СКА","2025-08-15","/daily-rebuses/76.jpg","773","765","252","475","0.9897","0.3260","0.6145","0.1799"
77,"кадетство","Ка (буква К) + Детство","2025-08-16","/daily-rebuses/77.jpg","795","782","396","538","0.9836","0.4981","0.6767","0.2358"
78,"дождевые черви","Дождевые (дождь идет) + Черви (карточная масть)","2025-08-17","/daily-rebuses/78.jpg","801","796","373","539","0.9938","0.4657","0.6729","0.2211"
79,"стол","Сто (100) + Л","2025-08-18","/daily-rebuses/79.jpg","781","774","260","268","0.9910","0.3329","0.3431","0.1401"
80,"воронеж","Ворон + Еж","2025-08-19","/daily-rebuses/80.jpg","822","812","388","463","0.9878","0.4720","0.5633","0.2098"
81,"лимонад","Лимон + Ад","2025-08-20","/daily-rebuses/81.jpg","824","816","312","388","0.9903","0.3786","0.4709","0.1711"
82,"бабочка","Ба (сокращенно от ""бабушка"") + Бочка","2025-08-21","/daily-rebuses/82.jpg","834","833","146","159","0.9988","0.1751","0.1906","0.0731"
83,"фото","Фо (4 - four) + То","2025-08-22","/daily-rebuses/83.jpg","826","820","394","639","0.9927","0.4770","0.7736","0.2396"
84,"опушка","О (буква) + Пушка","2025-08-23","/daily-rebuses/84.jpg","850","844","304","497","0.9929","0.3576","0.5847","0.1814"
85,"пудель","Пуд (мера веса) + Ель","2025-08-24","/daily-rebuses/85.jpg","869","866","219","283","0.9965","0.2520","0.3257","0.1139"
86,"марка","М + Арка","2025-08-25","/daily-rebuses/86.jpg","851","850","85","99","0.9988","0.0999","0.1163","0.0431"
87,"макс|max|мессенджер макс|мессенджер max","Отсылка к мемной рекламе мессенджера Max, который ловит в лифте и на парковке","2025-08-26","/daily-rebuses/87.jpg","882","865","619","1108","0.9807","0.7018","1.2562","0.3755"
88,"коммент","Ком (снежный) + Мент (полицейский)","2025-08-27","/daily-rebuses/88.jpg","896","886","560","1061","0.9888","0.6250","1.1842","0.3406"
89,"термосумка","Термос + Умка (медведь)","2025-08-28","/daily-rebuses/89.jpg","888","885","339","536","0.9966","0.3818","0.6036","0.1880"
90,"печенье","Печень + Е","2025-08-29","/daily-rebuses/90.jpg","876","866","436","774","0.9886","0.4977","0.8836","0.2638"
91,"парад","Пара (две) + Д","2025-08-30","/daily-rebuses/91.jpg","887","877","503","846","0.9887","0.5671","0.9538","0.2916"
92,"хромосомы","Хром (гугл хром в глазах, браузер) + О (соединительная гласная) + Сомы (рыбы)","2025-08-31","/daily-rebuses/92.jpg","899","895","248","427","0.9956","0.2759","0.4750","0.1429"
93,"макс брандт","Макс (персонаж игры) + Бран (персонаж сериала) + ДТ (дизельное топливо)","2025-09-01","/daily-rebuses/93.jpg","911","905","370","570","0.9934","0.4061","0.6257","0.1993"
94,"сорока","Сорок (40) + А","2025-09-02","/daily-rebuses/94.jpg","1143","1132","563","744","0.9904","0.4926","0.6509","0.2266"
100,"3 сентября|третье сентября","Изображения олицетворяют фразы из песни Михаила Шуфутинского ""3 сентября""","2025-09-03","/daily-rebuses/100.jpg","1077","1073","202","227","0.9963","0.1876","0.2108","0.0807"
96,"тритон","Три (количество) + Тон (на всех изображениях Тоны)","2025-09-04","/daily-rebuses/96.jpg","1051","1040","604","1086","0.9895","0.5747","1.0333","0.3049"
97,"пол маккартни","Пол (деление на 2) + Мак (цветок) + Карт (автомобиль) + Ни (knee - колено по-английски)","2025-09-05","/daily-rebuses/97.jpg","1006","1002","376","555","0.9960","0.3738","0.5517","0.1786"
98,"погост","По (телепузик) + Гост (государственный стандарт)","2025-09-06","/daily-rebuses/98.jpg","972","963","442","796","0.9907","0.4547","0.8189","0.2421"
99,"табло","Таб (клавиша) + Ло (ДжейЛо - певица)","2025-09-07","/daily-rebuses/99.jpg","1022","1008","512","861","0.9863","0.5010","0.8425","0.2598"
101,"пилатес","Пилат (Понтий Пилат) + Ес (yes = да)","2025-09-08","/daily-rebuses/101.jpg","1017","999","433","823","0.9823","0.4258","0.8092","0.2384"
102,"невеста","Не (красный крест) + Веста (модель Лады)","2025-09-09","/daily-rebuses/102.jpg","995","984","340","437","0.9889","0.3417","0.4392","0.1579"
103,"пиво","Пи (3.14 и тд) + В (внутри) + О (буква)","2025-09-10","/daily-rebuses/103.jpg","985","983","117","180","0.9980","0.1188","0.1827","0.0583"
104,"одиннадцать","Один (бог) + Над (его положение на картинке) + Цать","2025-09-11","/daily-rebuses/104.jpg","981","977","177","222","0.9959","0.1804","0.2263","0.0815"
105,"фобо","Фо (4) + Бо (всех этих ребят так называют)","2025-09-12","/daily-rebuses/105.jpg","989","978","458","724","0.9889","0.4631","0.7321","0.2323"
106,"вупи голдберг","Вуп (лого whoop) + И + Голдберг (рестлер)","2025-09-13","/daily-rebuses/106.jpg","969","955","508","944","0.9856","0.5243","0.9742","0.2859"
107,"микстура","Микс (смешивать) + Ту + Ра","2025-09-14","/daily-rebuses/107.jpg","993","980","403","622","0.9869","0.4058","0.6264","0.2033"
108,"фазан","Фа (нота) + За (предлог) + Н","2025-09-15","/daily-rebuses/108.jpg","976","966","434","781","0.9898","0.4447","0.8002","0.2373"
109,"антивирус|анти вирус|анти-вирус","Анти + Вирус","2025-09-16","/daily-rebuses/109.jpg","1030","1023","394","644","0.9932","0.3825","0.6252","0.1935"
110,"многое","Много + Е","2025-09-17","/daily-rebuses/110.jpg","1026","1021","517","778","0.9951","0.5039","0.7583","0.2426"
111,"шарлотка","Шар + Лотка (д в лодке заменяем на т)","2025-09-18","/daily-rebuses/111.jpg","1021","1002","585","1116","0.9814","0.5730","1.0930","0.3184"
112,"вяз","В (внутри) + Я + З","2025-09-19","/daily-rebuses/112.jpg","1005","998","282","459","0.9930","0.2806","0.4567","0.1428"
113,"вулкан","Вул (whool - шерсть) + Кан (немецкий вратарь)","2025-09-20","/daily-rebuses/113.jpg","1020","1005","489","903","0.9853","0.4794","0.8853","0.2615"
114,"бизон","Б + Из (из чего) + Он","2025-09-21","/daily-rebuses/114.jpg","1020","1018","204","328","0.9980","0.2000","0.3216","0.0994"
115,"хенкок|хэнкок","Хенк (собака) + Ок (одноклассники)","2025-09-22","/daily-rebuses/115.jpg","1025","1013","410","633","0.9883","0.4000","0.6176","0.1997"
116,"персонаж","Перс (порода кота) + Она (знак Венеры) + Ж","2025-09-23","/daily-rebuses/116.jpg","1005","997","393","524","0.9920","0.3910","0.5214","0.1807"
117,"доктор","Док (доктор) + Тор (персонаж)","2025-09-24","/daily-rebuses/117.jpg","1006","1000","267","470","0.9940","0.2654","0.4672","0.1400"
118,"канифоль","Кани (Кани Вест) + Фольга - Га","2025-09-25","/daily-rebuses/118.jpg","1025","1022","173","224","0.9971","0.1688","0.2185","0.0767"
119,"гостиная","Гост (ghost - приведение) + И (буква i) + На (расположение) + Я","2025-09-26","/daily-rebuses/119.jpg","1016","1006","478","821","0.9902","0.4705","0.8081","0.2447"
120,"демиург","Деми (Деми Мур) + Ург (половина от Урганта)","2025-09-27","/daily-rebuses/120.jpg","1016","1007","368","618","0.9911","0.3622","0.6083","0.1871"
121,"лоток","Лот (картина) + Ок (жест)","2025-09-28","/daily-rebuses/121.jpg","1013","1001","425","658","0.9882","0.4195","0.6496","0.2094"
122,"куба","Куб (третья степень) + А","2025-09-29","/daily-rebuses/122.jpg","1015","1007","300","492","0.9921","0.2956","0.4847","0.1513"
123,"орбита","Ор (выше гор) + Бита","2025-09-30","/daily-rebuses/123.jpg","1050","1028","439","582","0.9790","0.4181","0.5543","0.2002"
124,"пирог","Пи (число) + Рог","2025-10-01","/daily-rebuses/124.jpg","1130","1129","31","39","0.9991","0.0274","0.0345","0.0126"
125,"кульминация","Куль (мешок) + Ми (нота) + Нация (на ци я)","2025-10-02","/daily-rebuses/125.jpg","1062","1025","532","953","0.9652","0.5009","0.8974","0.2807"
126,"мозаика","Мо (бармен из Симпсонов) + Заика (человек, страдающий логоневрозом)","2025-10-03","/daily-rebuses/126.jpg","1054","1022","356","594","0.9696","0.3378","0.5636","0.1872"
127,"матч","Мат (ненормативная лексика) + Ч (буква)","2025-10-04","/daily-rebuses/127.jpg","1024","1006","431","754","0.9824","0.4209","0.7363","0.2262"
128,"изба","Из букв Б составлена буква А","2025-10-05","/daily-rebuses/128.jpg","1065","1059","167","218","0.9944","0.1568","0.2047","0.0733"
129,"кубань","Куб + Юань (валюта) - Ю","2025-10-06","/daily-rebuses/129.jpg","1052","1048","135","161","0.9962","0.1283","0.1530","0.0573"
130,"шведская стенка","Флаг Швеции + Стена","2025-10-07","/daily-rebuses/130.jpg","1074","1062","358","687","0.9888","0.3333","0.6397","0.1860"
131,"награда","На (сверху) + Град (осадки) + А","2025-10-08","/daily-rebuses/131.jpg","1068","1058","233","420","0.9906","0.2182","0.3933","0.1191"
132,"лаврентий","Лав (love) + РенТВ (где в=ий)","2025-10-09","/daily-rebuses/132.jpg","1070","1067","233","392","0.9972","0.2178","0.3664","0.1111"
133,"япония","Я + Пони + Я","2025-10-10","/daily-rebuses/133.jpg","1067","1066","19","25","0.9991","0.0178","0.0234","0.0085"
134,"мальчишник в вегасе","Мальчишник (группа) + Вегас (программа для монтажа)","2025-10-11","/daily-rebuses/134.jpg","1061","1035","579","1139","0.9755","0.5457","1.0735","0.3122"
135,"сороконожка","Сор (мелкий мусор) + Око (глаз) + Ножка (часть курицы)","2025-10-12","/daily-rebuses/135.jpg","1067","1052","501","953","0.9859","0.4695","0.8932","0.2598"
136,"гол как сокол|гол, как сокол|гол - как сокол","Гол (забитый мяч) Как (равно) Сокол (птица)","2025-10-13","/daily-rebuses/136.jpg","1077","1064","365","568","0.9879","0.3389","0.5274","0.1711"
137,"запятая","За (буквы) + Пятая (порядковый номер)","2025-10-14","/daily-rebuses/137.jpg","1096","1079","679","1545","0.9845","0.6195","1.4097","0.3756"
138,"цезарь с курицей","Цезарь (правитель он же салат) + С Курицей (в руках)","2025-10-15","/daily-rebuses/138.jpg","1101","1097","213","357","0.9964","0.1935","0.3243","0.0992"
139,"поехали","По (телепузики) + Ехали (прошедшее время слова ""едут"")","2025-10-16","/daily-rebuses/139.jpg","1087","1070","587","1220","0.9844","0.5400","1.1224","0.3127"
140,"йогурт","Йог (человек в позе) + У (около) + РТ","2025-10-17","/daily-rebuses/140.jpg","1071","1070","130","179","0.9991","0.1214","0.1671","0.0560"
141,"интерфейс","Интер (футбольный клуб) + Фейс (лицо)","2025-10-18","/daily-rebuses/141.jpg","1067","1050","504","908","0.9841","0.4724","0.8510","0.2553"
142,"видеограф","Видео (видеокамера) + Граф (титул Дракулы)","2025-10-19","/daily-rebuses/142.jpg","1083","1062","648","1196","0.9806","0.5983","1.1043","0.3269"
143,"центр","Цент (сотая часть доллара) + Р","2025-10-20","/daily-rebuses/143.jpg","1081","1072","347","674","0.9917","0.3210","0.6235","0.1788"
144,"линкин парк|linkin park","Линк (ссылка) + Ин (предлог в) + Парк (на фото именно он)","2025-10-21","/daily-rebuses/144.jpg","1072","1058","578","914","0.9869","0.5392","0.8526","0.2705"
145,"массаж","Масса (физическая величина измеряемая весами) + Ж","2025-10-22","/daily-rebuses/145.jpg","1092","1075","614","1169","0.9844","0.5623","1.0705","0.3105"
146,"подлива","Под (местоположения) +Ли + Ва","2025-10-23","/daily-rebuses/146.jpg","1082","1080","173","232","0.9982","0.1599","0.2144","0.0732"
147,"пальто","Паль (синоним Fake) + ТО (техосмотр)","2025-10-24","/daily-rebuses/147.jpg","1069","1053","656","1414","0.9850","0.6137","1.3227","0.3608"
148,"фасон","Фа (нота) + Сон (состояние)","2025-10-25","/daily-rebuses/148.jpg","1066","1059","251","333","0.9934","0.2355","0.3124","0.1097"
149,"антипасти","Анти (против) + Пасти (пасть животных)","2025-10-26","/daily-rebuses/149.jpg","1069","1051","597","1120","0.9832","0.5585","1.0477","0.3069"
150,"железо","Желе (блюдо) + Зо","2025-10-27","/daily-rebuses/150.jpg","1055","1051","438","515","0.9962","0.4152","0.4882","0.1793"
151,"промежуток","Промеж (между) + У (буквы) + Ток (знак тока)","2025-10-28","/daily-rebuses/151.jpg","1068","1057","632","1099","0.9897","0.5918","1.0290","0.3085"
152,"фоторобот","Фото + Робот","2025-10-29","/daily-rebuses/152.jpg","1057","1052","272","330","0.9953","0.2573","0.3122","0.1140"
153,"колбаса","Колба + С (предлог) + А","2025-10-30","/daily-rebuses/153.jpg","1037","1028","454","723","0.9913","0.4378","0.6972","0.2192"
154,"угол","У (возлас) + Гол (попадание мяча в ворота)","2025-10-31","/daily-rebuses/154.jpg","1058","1056","148","192","0.9981","0.1399","0.1815","0.0633"
155,"лор|оториноларинголог|отоларинголог|ухогорлонос","Ухо + Горло + Нос","2025-11-01","/daily-rebuses/155.jpg","1057","1057","96","106","1.0000","0.0908","0.1003","0.0377"
156,"торговец|торговцы","Торг (спор о цене на рынке) + Овец (чей спор)","2025-11-02","/daily-rebuses/156.jpg","1057","1048","529","956","0.9915","0.5005","0.9044","0.2659"
157,"сторож","Сто (число) + Рож (грубое название лица)","2025-11-03","/daily-rebuses/157.jpg","1073","1062","659","1233","0.9897","0.6142","1.1491","0.3321"
158,"пелевин","Пеле (футболист) + Вин (win - выиграть)","2025-11-04","/daily-rebuses/158.jpg","1072","1059","586","1221","0.9879","0.5466","1.1390","0.3148"
159,"вьетнам","В букве Ь ЕТ + НА (сверху) + М","2025-11-05","/daily-rebuses/159.jpg","1083","1081","269","423","0.9982","0.2484","0.3906","0.1218"
160,"поляна","Пол (половина) + Яна (блогер Ян Топлес)","2025-11-06","/daily-rebuses/160.jpg","1071","1067","389","650","0.9963","0.3632","0.6069","0.1841"
161,"парк","Пар (эмодзи) + К","2025-11-07","/daily-rebuses/161.jpg","1076","1068","498","842","0.9926","0.4628","0.7825","0.2375"
162,"котофей","Кот + Фея","2025-11-08","/daily-rebuses/162.jpg","1083","1078","248","344","0.9954","0.2290","0.3176","0.1077"
163,"витрина","В букве И + Три На (3 слога)","2025-11-09","/daily-rebuses/163.jpg","1091","1084","343","583","0.9936","0.3144","0.5344","0.1626"
164,"картофель","Карт (машинка) + Оф (положение off) + Ель (растение)","2025-11-10","/daily-rebuses/164.jpg","1089","1083","324","529","0.9945","0.2975","0.4858","0.1506"
165,"санитарка","Сани + Т + Арка","2025-11-11","/daily-rebuses/165.jpg","1087","1082","330","386","0.9954","0.3036","0.3551","0.1319"
166,"деканат","Де (буква) + Канат (веревка в виде буквы)","2025-11-12","/daily-rebuses/166.jpg","1122","1113","498","912","0.9920","0.4439","0.8128","0.2377"
167,"зверобой","Звер (звери) + О (соединительная гласная) + Бой (поединок)","2025-11-13","/daily-rebuses/167.jpg","1100","1091","515","777","0.9918","0.4682","0.7064","0.2279"
168,"острие","Ос + три (количество букв) + ё","2025-11-14","/daily-rebuses/168.jpg","1054","1050","137","164","0.9962","0.1300","0.1556","0.0581"
169,"эмпат","Эм (буква М) + Пат (ничья в шахматах)","2025-11-15","/daily-rebuses/169.jpg","1065","1053","545","932","0.9887","0.5117","0.8751","0.2660"
170,"душегубы","Душ (душевые лейки) + Е (соединительная гласная) + Губы (лейкт на месте губ)","2025-11-16","/daily-rebuses/170.jpg","1172","1129","390","718","0.9633","0.3328","0.6126","0.1971"
